id,date,time,daily_open,daily_high,daily_low,daily_close,daily_volume,spread,prev_day_signal,prev_day_return,daily_high_max_30d,daily_high_min_30d,daily_low_max_30d,daily_low_min_30d,daily_high_max_100d,daily_high_min_100d,daily_low_max_100d,daily_low_min_100d,momentum_10d,trend_slope_30d,high_10d,low_10d,distance_from_high_10d,distance_from_low_10d,high_20d,low_20d,distance_from_high_20d,distance_from_low_20d,high_30d,low_30d,distance_from_high_30d,distance_from_low_30d,high_50d,low_50d,distance_from_high_50d,distance_from_low_50d,high_100d,low_100d,distance_from_high_100d,distance_from_low_100d,pivot_point,fib_23_6,consecutive_bull_days,consecutive_bear_days,reversal_prob_3d,pascal_reversal_signal,z_score_10d,bb_upper,bb_lower,bb_position,atr_14,volatility_regime,holloway_bull_count_max_10d,daily_direction,day_outcome_lag1,day_outcome_lag2,day_outcome_lag3,day_outcome_lag4,day_outcome_lag5,day_outcome_lag6,day_outcome_lag7,day_outcome_lag8,day_outcome_lag9,day_outcome_lag10
1,2000-01-03,00:00:00,1.0073,1.0278,1.0054,1.0246,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0192666666666665,1.0225136000000001,1,0,0,0,,,,,,,,,,,,,,,,,,
2,2000-01-04,00:00:00,1.0243,1.034,1.0213,1.0292,0,50,,0.01717462523577873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0281666666666667,1.0310028,2,0,0,0,,,,,,,,1.0,,,,,,,,,,
3,2000-01-05,00:00:00,1.0293,1.0402,1.0284,1.0326,0,50,,0.004783754759347669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0337333333333334,1.0374152,3,0,0,0,,,,,,,,1.0,1.0,,,,,,,,,
4,2000-01-06,00:00:00,1.0325,1.0415,1.0272,1.033,0,50,,0.003206062372486107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0338999999999998,1.0381252,4,0,0,0,,,,,,,,1.0,1.0,1.0,,,,,,,,
5,2000-01-07,00:00:00,1.0329,1.0332,1.026,1.0298,0,50,,0.0004842615012106144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0296666666666665,1.0315007999999999,0,1,1,1,,,,,,,,-1.0,1.0,1.0,1.0,,,,,,,
6,2000-01-10,00:00:00,1.0286,1.0305,1.0211,1.0251,0,50,,-0.0030012585923128166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0255666666666665,1.0282816,0,2,0,0,,,,,,,,-1.0,-1.0,1.0,1.0,1.0,,,,,,
7,2000-01-11,00:00:00,1.0253,1.0341,1.0246,1.0336,0,50,,-0.0034026832587984446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0307666666666666,1.031858,1,0,0,0,,,,,,,,1.0,-1.0,-1.0,1.0,1.0,1.0,,,,,
8,2000-01-12,00:00:00,1.0337,1.037,1.0261,1.0308,0,50,,0.008095191651223965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0312999999999999,1.0344276,0,1,0,0,,,,,,,,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,,,,
9,2000-01-13,00:00:00,1.0309,1.0316,1.0237,1.026,0,50,,-0.002805456128470718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0271,1.0297356,0,2,0,0,,,,,,,,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,,,
10,2000-01-14,00:00:00,1.0261,1.0275,1.0114,1.0122,0,50,,-0.004753128334464951,,,,,,,,,,,1.0415,1.0054,-0.028132501200192127,0.0067634772229957394,,,,,,,,,,,,,,,,,1.0170333333333332,1.0237004,0,3,0,0,-2.4400875668225983,,,,,,4.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,,
