feature,label,accuracy,hit_rate,correlation
bb_width_norm,Bb Width Norm,0.5309,0.5332,0.029
dist_from_high20,Dist From High20,0.5171,0.519,0.053
upper_shadow_pct,Upper Shadow Pct,0.5103,0.5086,0.0034
doji,Doji,0.5098,0.5164,0.0196
vol_20,Vol 20,0.5074,0.4987,-0.0022
atr_pct,Atr Pct,0.5062,0.5272,0.0054
bullish_engulfing,Bullish Engulfing,0.5052,0.522,0.0056
bearish_engulfing,Bearish Engulfing,0.5047,0.5178,0.0021
pin_bar_bear,Pin Bar Bear,0.504,0.5154,0.0074
hammer,Hammer,0.504,0.587,0.0184
shooting_star,Shooting Star,0.5035,0.6364,0.0122
pin_bar_bull,Pin Bar Bull,0.5028,0.5031,0.0085
candle_direction,Candle Direction,0.5025,0.5005,-0.0167
macd_hist_norm,Macd Hist Norm,0.5013,0.4992,-0.0115
vol_regime,Vol Regime,0.5008,0.4988,0.0013
lower_shadow_pct,Lower Shadow Pct,0.496,0.4934,0.0138
sma5_slope,Sma5 Slope,0.4953,0.4927,-0.0142
ret_5,Ret 5,0.4953,0.4927,-0.0142
roc_5,Roc 5,0.4953,0.4927,-0.0142
ret_1,Ret 1,0.4921,0.4895,-0.0092
stoch_d,Stoch D,0.4909,0.4876,-0.0436
ret_10,Ret 10,0.4907,0.4875,-0.0234
roc_10,Roc 10,0.4907,0.4875,-0.0234
close_vs_sma10,Close Vs Sma10,0.4902,0.4871,-0.025
rsi_14,Rsi 14,0.4897,0.4855,-0.0422
ema5_vs_ema20,Ema5 Vs Ema20,0.4887,0.4845,-0.0372
sma20_slope,Sma20 Slope,0.4887,0.4848,-0.038
stoch_k,Stoch K,0.4875,0.4841,-0.0441
macd_signal_norm,Macd Signal Norm,0.4873,0.4825,-0.0392
dist_from_low20,Dist From Low20,0.487,0.478,-0.0223
body_pct,Body Pct,0.4865,0.485,-0.0099
macd_norm,Macd Norm,0.4846,0.4794,-0.0404
close_vs_sma20,Close Vs Sma20,0.4839,0.4798,-0.0336
close_vs_sma5,Close Vs Sma5,0.4822,0.4796,-0.0233
close_vs_sma50,Close Vs Sma50,0.4819,0.4761,-0.0412
trend_strength,Trend Strength,0.4819,0.4761,-0.0412
bb_pct,Bb Pct,0.4815,0.4773,-0.0325
