feature,label,accuracy,hit_rate,correlation
vol_20,Vol 20,0.5169,0.5658,0.0002
bb_width_norm,Bb Width Norm,0.5145,0.537,0.0187
atr_pct,Atr Pct,0.512,0.5319,0.0081
macd_signal_norm,Macd Signal Norm,0.5118,0.5265,0.0291
upper_shadow_pct,Upper Shadow Pct,0.5118,0.5275,0.0173
dist_from_high20,Dist From High20,0.5086,0.5293,0.0131
macd_norm,Macd Norm,0.5086,0.5217,0.0221
close_vs_sma50,Close Vs Sma50,0.5052,0.5182,0.0157
trend_strength,Trend Strength,0.5052,0.5182,0.0157
body_pct,Body Pct,0.5043,0.5194,0.0321
ema5_vs_ema20,Ema5 Vs Ema20,0.4996,0.5107,0.01
dist_from_low20,Dist From Low20,0.4982,0.5061,0.0074
roc_5,Roc 5,0.4965,0.5081,-0.0198
sma5_slope,Sma5 Slope,0.4965,0.5081,-0.0199
ret_5,Ret 5,0.4965,0.5081,-0.0198
sma20_slope,Sma20 Slope,0.4955,0.5069,0.0035
lower_shadow_pct,Lower Shadow Pct,0.4955,0.5086,0.0142
close_vs_sma10,Close Vs Sma10,0.4928,0.5039,-0.0195
rsi_14,Rsi 14,0.4923,0.5075,0.0005
bearish_engulfing,Bearish Engulfing,0.4906,0.5389,0.0137
stoch_d,Stoch D,0.4906,0.5023,-0.0128
stoch_k,Stoch K,0.4897,0.5024,-0.0301
doji,Doji,0.4885,0.5081,-0.0233
close_vs_sma5,Close Vs Sma5,0.488,0.4994,-0.0307
pin_bar_bull,Pin Bar Bull,0.488,0.5201,-0.0061
close_vs_sma20,Close Vs Sma20,0.488,0.4974,-0.01
bullish_engulfing,Bullish Engulfing,0.487,0.5011,0.0065
macd_hist_norm,Macd Hist Norm,0.487,0.5023,-0.0188
ret_10,Ret 10,0.487,0.4984,-0.0047
roc_10,Roc 10,0.487,0.4984,-0.0047
shooting_star,Shooting Star,0.4855,0.5368,0.0076
vol_regime,Vol Regime,0.4846,0.5,0.0469
pin_bar_bear,Pin Bar Bear,0.4846,0.5012,-0.0079
hammer,Hammer,0.4846,0.5276,-0.0029
candle_direction,Candle Direction,0.4846,0.5,-0.0387
bb_pct,Bb Pct,0.4819,0.4926,-0.0284
ret_1,Ret 1,0.4763,0.4903,-0.0384
