date,av_eurusd_close
2025-10-03,1.17410
2025-10-02,1.17140
2025-10-01,1.17290
2025-09-30,1.17330
2025-09-29,1.17250
2025-09-26,1.17010
2025-09-25,1.16650
2025-09-24,1.17370
2025-09-23,1.18150
2025-09-22,1.18020
2025-09-19,1.17440
2025-09-18,1.17860
2025-09-17,1.18120
2025-09-16,1.18660
2025-09-15,1.17600
2025-09-12,1.17330
2025-09-11,1.17330
2025-09-10,1.16930
2025-09-09,1.17060
2025-09-08,1.17620
2025-09-05,1.17170
2025-09-04,1.16490
2025-09-03,1.16610
2025-09-02,1.16380
2025-09-01,1.17090
2025-08-29,1.16840
2025-08-28,1.16820
2025-08-27,1.16370
2025-08-26,1.16420
2025-08-25,1.16180
2025-08-22,1.17150
2025-08-21,1.16050
2025-08-20,1.16510
2025-08-19,1.16460
2025-08-18,1.16600
2025-08-15,1.16970
2025-08-14,1.16460
2025-08-13,1.17040
2025-08-12,1.16730
2025-08-11,1.16140
2025-08-08,1.16390
2025-08-07,1.16650
2025-08-06,1.16590
2025-08-05,1.15740
2025-08-04,1.15700
2025-08-01,1.15840
2025-07-31,1.14150
2025-07-30,1.14040
2025-07-29,1.15450
2025-07-28,1.15880
2025-07-25,1.17400
2025-07-24,1.17540
2025-07-23,1.17700
2025-07-22,1.17530
2025-07-21,1.16950
2025-07-18,1.16250
2025-07-17,1.15950
2025-07-16,1.16340
2025-07-15,1.15990
2025-07-14,1.16630
2025-07-11,1.16890
2025-07-10,1.17000
2025-07-09,1.17190
2025-07-08,1.17240
2025-07-07,1.17070
2025-07-04,1.17780
2025-07-03,1.17560
2025-07-02,1.17980
2025-07-01,1.18050
2025-06-30,1.17860
2025-06-27,1.17190
2025-06-26,1.16990
2025-06-25,1.16590
2025-06-24,1.16080
2025-06-23,1.15760
2025-06-20,1.15220
2025-06-19,1.14940
2025-06-18,1.14790
2025-06-17,1.14790
2025-06-16,1.15610
2025-06-13,1.15520
2025-06-12,1.15830
2025-06-11,1.14870
2025-06-10,1.14230
2025-06-09,1.14200
2025-06-06,1.13940
2025-06-05,1.14416
2025-06-04,1.14157
2025-06-03,1.13750
2025-06-02,1.14377
2025-05-30,1.13450
2025-05-29,1.13690
2025-05-28,1.12925
2025-05-27,1.13304
2025-05-26,1.13848
2025-05-23,1.13606
2025-05-22,1.12791
2025-05-21,1.13281
2025-05-20,1.12822
2025-05-19,1.12431
2025-05-16,1.11640
2025-05-15,1.11872
2025-05-14,1.11749
2025-05-13,1.11856
2025-05-12,1.10880
2025-05-09,1.12460
2025-05-08,1.12261
2025-05-07,1.13106
2025-05-06,1.13715
2025-05-05,1.13143
2025-05-02,1.12952
2025-05-01,1.12857
2025-04-30,1.13253
2025-04-29,1.13846
2025-04-28,1.14198
2025-04-25,1.13640
2025-04-24,1.13857
2025-04-23,1.13236
2025-04-22,1.13623
2025-04-21,1.15085
2025-04-18,1.13913
2025-04-17,1.13668
2025-04-16,1.13970
2025-04-15,1.12812
2025-04-14,1.13522
2025-04-11,1.13586
2025-04-10,1.11888
2025-04-09,1.09503
2025-04-08,1.09565
2025-04-07,1.09112
2025-04-04,1.09573
2025-04-03,1.10505
2025-04-02,1.08264
2025-04-01,1.07929
2025-03-31,1.08184
2025-03-28,1.08237
2025-03-27,1.07974
2025-03-26,1.07362
2025-03-25,1.07908
2025-03-24,1.07995
2025-03-21,1.08121
2025-03-20,1.08539
2025-03-19,1.09033
2025-03-18,1.09442
2025-03-17,1.09212
2025-03-14,1.08765
2025-03-13,1.08510
2025-03-12,1.08857
2025-03-11,1.09110
2025-03-10,1.08340
2025-03-07,1.08300
2025-03-06,1.07818
2025-03-05,1.07875
2025-03-04,1.06253
2025-03-03,1.04857
2025-02-28,1.03747
2025-02-27,1.03973
2025-02-26,1.04836
2025-02-25,1.05121
2025-02-24,1.04671
2025-02-21,1.04559
2025-02-20,1.05002
2025-02-19,1.04222
2025-02-18,1.04459
2025-02-17,1.04840
2025-02-14,1.04913
2025-02-13,1.04641
2025-02-12,1.03824
2025-02-11,1.03604
2025-02-10,1.03063
2025-02-07,1.03260
2025-02-06,1.03828
2025-02-05,1.04021
2025-02-04,1.03783
2025-02-03,1.03430
2025-01-31,1.03602
2025-01-30,1.03875
2025-01-29,1.04207
2025-01-28,1.04298
2025-01-27,1.04916
2025-01-24,1.04919
2025-01-23,1.04148
2025-01-22,1.04077
2025-01-21,1.03876
2025-01-20,1.04155
2025-01-17,1.02710
2025-01-16,1.02990
2025-01-15,1.02861
2025-01-14,1.03076
2025-01-13,1.02441
2025-01-10,1.02440
2025-01-09,1.02990
2025-01-08,1.03178
2025-01-07,1.03394
2025-01-06,1.03898
2025-01-03,1.03066
2025-01-02,1.02619
2025-01-01,1.03520
2024-12-31,1.03522
2024-12-30,1.04068
2024-12-27,1.04239
2024-12-26,1.04220
2024-12-25,1.04010
2024-12-24,1.04010
2024-12-23,1.04048
2024-12-20,1.04244
2024-12-19,1.03605
2024-12-18,1.03507
2024-12-17,1.04903
2024-12-16,1.05121
2024-12-13,1.05017
2024-12-12,1.04690
2024-12-11,1.04933
2024-12-10,1.05268
2024-12-09,1.05531
2024-12-06,1.05673
2024-12-05,1.05840
2024-12-04,1.05114
2024-12-03,1.05073
2024-12-02,1.04966
2024-11-29,1.05748
2024-11-28,1.05489
2024-11-27,1.05660
2024-11-26,1.04879
2024-11-25,1.04942
2024-11-22,1.04193
2024-11-21,1.04738
2024-11-20,1.05432
2024-11-19,1.05937
2024-11-18,1.05979
2024-11-15,1.05394
2024-11-14,1.05290
2024-11-13,1.05622
2024-11-12,1.06216
2024-11-11,1.06533
2024-11-08,1.07182
2024-11-07,1.08038
2024-11-06,1.07269
2024-11-05,1.09288
2024-11-04,1.08767
2024-11-01,1.08340
2024-10-31,1.08820
2024-10-30,1.08569
2024-10-29,1.08140
2024-10-28,1.08134
2024-10-25,1.07930
2024-10-24,1.08278
2024-10-23,1.07830
2024-10-22,1.07982
2024-10-21,1.08147
2024-10-18,1.08650
2024-10-17,1.08318
2024-10-16,1.08628
2024-10-15,1.08919
2024-10-14,1.09059
