date,cpaltt01usm661s
1955-01-01,11.29455
1955-02-01,11.31564
1955-03-01,11.30299
1955-04-01,11.30299
1955-05-01,11.29455
1955-06-01,11.26923
1955-07-01,11.29033
1955-08-01,11.27345
1955-09-01,11.3283
1955-10-01,11.31564
1955-11-01,11.34096
1955-12-01,11.33674
1956-01-01,11.31986
1956-02-01,11.33252
1956-03-01,11.34518
1956-04-01,11.36205
1956-05-01,11.40425
1956-06-01,11.45487
1956-07-01,11.51394
1956-08-01,11.52238
1956-09-01,11.53926
1956-10-01,11.60676
1956-11-01,11.60676
1956-12-01,11.65739
1957-01-01,11.67427
1957-02-01,11.72912
1957-03-01,11.75443
1957-04-01,11.78397
1957-05-01,11.8135
1957-06-01,11.85991
1957-07-01,11.89366
1957-08-01,11.93163
1957-09-01,11.94851
1957-10-01,11.94851
1957-11-01,11.98648
1957-12-01,12.0118
1958-01-01,12.08352
1958-02-01,12.10884
1958-03-01,12.18056
1958-04-01,12.21009
1958-05-01,12.21009
1958-06-01,12.19744
1958-07-01,12.189
1958-08-01,12.21009
1958-09-01,12.19744
1958-10-01,12.19744
1958-11-01,12.21431
1958-12-01,12.22275
1959-01-01,12.23963
1959-02-01,12.23541
1959-03-01,12.22275
1959-04-01,12.22697
1959-05-01,12.25229
1959-06-01,12.28182
1959-07-01,12.2987
1959-08-01,12.31135
1959-09-01,12.34089
1959-10-01,12.38308
1959-11-01,12.38308
1959-12-01,12.40839
1960-01-01,12.39152
1960-02-01,12.40839
1960-03-01,12.40839
1960-04-01,12.46324
1960-05-01,12.4759
1960-06-01,12.49277
1960-07-01,12.46746
1960-08-01,12.49277
1960-09-01,12.49277
1960-10-01,12.55184
1960-11-01,12.5645
1960-12-01,12.57716
1961-01-01,12.58981
1961-02-01,12.58981
1961-03-01,12.58981
1961-04-01,12.57716
1961-05-01,12.58981
1961-06-01,12.58981
1961-07-01,12.62357
1961-08-01,12.63201
1961-09-01,12.64888
1961-10-01,12.64888
1961-11-01,12.64888
1961-12-01,12.66154
1962-01-01,12.6742
1962-02-01,12.70373
1962-03-01,12.72904
1962-04-01,12.74592
1962-05-01,12.75858
1962-06-01,12.74592
1962-07-01,12.75014
1962-08-01,12.77545
1962-09-01,12.83452
1962-10-01,12.81765
1962-11-01,12.81765
1962-12-01,12.81765
1963-01-01,12.84296
1963-02-01,12.85984
1963-03-01,12.87249
1963-04-01,12.85984
1963-05-01,12.87249
1963-06-01,12.91469
1963-07-01,12.94844
1963-08-01,12.97375
1963-09-01,12.9611
1963-10-01,12.97375
1963-11-01,12.98641
1963-12-01,13.0286
1964-01-01,13.05392
1964-02-01,13.04126
1964-03-01,13.05392
1964-04-01,13.05814
1964-05-01,13.07079
1964-06-01,13.08345
1964-07-01,13.08767
1964-08-01,13.10033
1964-09-01,13.11298
1964-10-01,13.12986
1964-11-01,13.16783
1964-12-01,13.18471
1965-01-01,13.19737
1965-02-01,13.19737
1965-03-01,13.210020000000002
1965-04-01,13.23956
1965-05-01,13.28175
1965-06-01,13.3366
1965-07-01,13.32394
1965-08-01,13.311279999999998
1965-09-01,13.34082
1965-10-01,13.353470000000002
1965-11-01,13.39566
1965-12-01,13.43785
1966-01-01,13.45051
1966-02-01,13.53489
1966-03-01,13.57709
1966-04-01,13.619279999999998
1966-05-01,13.64881
1966-06-01,13.66147
1966-07-01,13.691
1966-08-01,13.775379999999998
1966-09-01,13.817570000000002
1966-10-01,13.85977
1966-11-01,13.872420000000002
1966-12-01,13.8893
1967-01-01,13.88086
1967-02-01,13.92305
1967-03-01,13.92305
1967-04-01,13.96524
1967-05-01,13.96524
1967-06-01,14.04963
1967-07-01,14.091820000000002
1967-08-01,14.13401
1967-09-01,14.1762
1967-10-01,14.21839
1967-11-01,14.30277
1967-12-01,14.34496
1968-01-01,14.38715
1968-02-01,14.42935
1968-03-01,14.47154
1968-04-01,14.51373
1968-05-01,14.55592
1968-06-01,14.6403
1968-07-01,14.72468
1968-08-01,14.76687
1968-09-01,14.80906
1968-10-01,14.89345
1968-11-01,14.93564
1968-12-01,15.02002
1969-01-01,15.06221
1969-02-01,15.1044
1969-03-01,15.23098
1969-04-01,15.31536
1969-05-01,15.35755
1969-06-01,15.44193
1969-07-01,15.52631
1969-08-01,15.5685
1969-09-01,15.65289
1969-10-01,15.73727
1969-11-01,15.82165
1969-12-01,15.90603
1970-01-01,15.99041
1970-02-01,16.0748
1970-03-01,16.15918
1970-04-01,16.243560000000002
1970-05-01,16.28575
1970-06-01,16.37013
1970-07-01,16.41232
1970-08-01,16.454520000000002
1970-09-01,16.5389
1970-10-01,16.623279999999998
1970-11-01,16.70766
1970-12-01,16.79204
1971-01-01,16.834239999999998
1971-02-01,16.834239999999998
1971-03-01,16.87643
