date,gold_price
2004-06-11,384.1
2004-06-14,382.8
2004-06-15,388.6
2004-06-16,383.8
2004-06-17,387.6
2004-06-18,394.3
2004-06-21,393.1
2004-06-22,394.1
2004-06-23,395.6
2004-06-24,401.1
2004-06-25,401.1
2004-06-28,399.8
2004-06-29,391.3
2004-06-30,393.3
2004-07-01,395.0
2004-07-02,397.8
2004-07-06,392.1
2004-07-07,401.8
2004-07-08,407.3
2004-07-09,407.1
2004-07-12,406.6
2004-07-13,403.1
2004-07-14,404.8
2004-07-15,403.1
2004-07-16,406.1
2004-07-19,404.8
2004-07-20,400.8
2004-07-21,396.1
2004-07-22,393.3
2004-07-23,389.3
2004-07-26,389.8
2004-07-27,386.6
2004-07-28,387.3
2004-07-29,387.1
2004-07-30,390.5
2004-08-02,391.1
2004-08-03,393.1
2004-08-04,391.8
2004-08-05,391.8
2004-08-06,398.8
2004-08-09,399.8
2004-08-10,399.1
2004-08-11,394.6
2004-08-12,393.3
2004-08-13,398.1
2004-08-16,401.3
2004-08-17,404.8
2004-08-18,403.8
2004-08-19,406.1
2004-08-20,412.2
2004-08-23,409.3
2004-08-24,401.6
2004-08-25,406.8
2004-08-26,406.3
2004-08-27,402.3
2004-08-30,408.1
2004-08-31,409.3
2004-09-01,407.8
2004-09-02,405.6
2004-09-03,399.8
2004-09-07,397.8
2004-09-08,399.1
2004-09-09,397.6
2004-09-10,402.3
2004-09-13,403.3
2004-09-14,405.6
2004-09-15,404.6
2004-09-16,403.8
2004-09-17,405.0
2004-09-20,404.3
2004-09-21,409.3
2004-09-22,406.3
2004-09-23,410.1
2004-09-24,407.1
2004-09-27,408.8
2004-09-28,411.6
2004-09-29,412.1
2004-09-30,417.8
2004-10-01,419.0
2004-10-04,418.8
2004-10-05,418.3
2004-10-06,417.3
2004-10-07,417.1
2004-10-08,422.3
2004-10-11,421.6
2004-10-12,414.8
2004-10-13,415.3
2004-10-14,417.3
2004-10-15,418.3
2004-10-18,415.3
2004-10-19,419.3
2004-10-20,423.1
2004-10-21,423.3
2004-10-22,423.7
2004-10-25,427.8
2004-10-26,426.3
2004-10-27,423.8
2004-10-28,423.8
2004-10-29,428.1
2004-11-01,426.8
2004-11-02,421.1
2004-11-03,426.3
2004-11-04,429.1
2004-11-05,433.1
2004-11-08,431.6
2004-11-09,434.8
2004-11-10,433.3
2004-11-11,434.1
2004-11-12,437.3
2004-11-15,436.0
2004-11-16,439.3
2004-11-17,444.1
2004-11-18,441.6
2004-11-19,446.6
2004-11-22,448.3
2004-11-23,447.1
2004-11-24,448.8
2004-11-26,451.3
2004-11-29,452.8
2004-11-30,450.3
2004-12-01,453.8
2004-12-02,448.3
2004-12-06,451.8
2004-12-07,450.3
2004-12-08,439.7
2004-12-09,436.8
2004-12-10,433.7
2004-12-13,438.8
2004-12-14,435.0
2004-12-15,440.8
2004-12-16,436.6
2004-12-17,441.0
2004-12-20,442.1
2004-12-21,441.1
2004-12-22,439.2
2004-12-23,441.8
2004-12-27,443.8
2004-12-28,443.3
2004-12-29,435.8
2004-12-30,437.5
2005-01-03,428.5
2005-01-04,426.8
2005-01-05,426.1
2005-01-06,420.8
2005-01-07,418.6
2005-01-10,419.3
2005-01-11,421.6
2005-01-12,425.8
2005-01-13,424.5
2005-01-14,422.6
2005-01-17,421.2
2005-01-18,422.5
2005-01-19,422.6
2005-01-20,421.7
2005-01-21,426.7
2005-01-24,426.8
2005-01-25,421.6
2005-01-26,426.1
2005-01-27,426.0
2005-01-28,426.5
2005-01-31,422.1
2005-02-01,420.5
2005-02-02,421.3
2005-02-03,416.8
2005-02-04,414.2
2005-02-07,413.0
2005-02-08,412.3
2005-02-09,412.8
2005-02-10,417.2
2005-02-11,420.3
2005-02-14,425.3
2005-02-15,424.8
2005-02-16,424.7
2005-02-17,426.6
2005-02-18,426.8
2005-02-22,434.8
2005-02-23,433.3
2005-02-24,433.2
2005-02-25,434.8
2005-02-28,435.0
2005-03-01,431.8
2005-03-02,432.6
2005-03-03,429.2
2005-03-04,433.8
2005-03-07,434.0
2005-03-08,440.0
2005-03-09,440.1
2005-03-10,441.6
2005-03-11,444.3
2005-03-14,440.0
2005-03-15,440.2
2005-03-16,442.7
2005-03-17,438.3
2005-03-18,438.8
2005-03-21,430.8
2005-03-22,426.3
2005-03-23,424.8
2005-03-24,423.8
2005-03-28,425.8
2005-03-29,425.3
2005-03-30,425.3
2005-03-31,427.8
2005-04-01,425.1
2005-04-04,423.3
2005-04-05,424.0
2005-04-06,426.3
2005-04-07,425.3
2005-04-08,426.1
2005-04-11,427.5
2005-04-12,427.7
2005-04-13,428.1
2005-04-14,423.8
2005-04-15,423.8
2005-04-18,426.5
2005-04-19,433.1
2005-04-20,433.5
2005-04-21,431.8
2005-04-22,433.7
2005-04-25,433.8
2005-04-26,436.1
2005-04-27,431.8
2005-04-28,430.6
2005-04-29,434.0
2005-05-02,428.7
2005-05-03,426.8
2005-05-04,428.3
2005-05-05,429.6
2005-05-06,425.3
2005-05-09,425.3
2005-05-10,425.8
2005-05-11,426.6
2005-05-12,420.8
2005-05-13,419.3
2005-05-16,418.7
2005-05-17,417.8
2005-05-18,420.8
2005-05-19,420.1
2005-05-20,417.1
2005-05-23,416.3
2005-05-24,417.7
2005-05-25,418.3
2005-05-26,417.0
2005-05-27,419.6
2005-05-31,416.8
2005-06-01,414.5
2005-06-02,421.3
2005-06-03,421.8
2005-06-06,425.6
2005-06-07,424.1
2005-06-08,423.2
2005-06-09,423.2
2005-06-10,426.6
2005-06-13,428.2
2005-06-14,426.3
2005-06-15,428.3
2005-06-16,435.1
2005-06-17,437.1
2005-06-20,437.6
2005-06-21,438.0
2005-06-22,437.7
2005-06-23,440.6
2005-06-24,439.3
2005-06-27,439.3
2005-06-28,435.1
2005-06-29,436.6
2005-06-30,434.5
2005-07-01,426.8
2005-07-04,426.5
2005-07-05,423.2
2005-07-06,423.2
2005-07-07,424.0
2005-07-08,422.6
2005-07-11,425.3
2005-07-12,426.3
2005-07-13,423.6
2005-07-14,419.2
2005-07-15,421.1
2005-07-18,420.6
2005-07-19,419.6
2005-07-20,422.8
2005-07-21,425.3
2005-07-22,424.5
2005-07-25,425.3
2005-07-26,422.8
2005-07-27,425.1
2005-07-28,427.6
2005-07-29,429.3
2005-08-01,431.3
2005-08-02,431.6
2005-08-03,436.2
2005-08-04,437.0
2005-08-05,436.8
2005-08-08,434.6
2005-08-09,434.6
2005-08-10,436.8
2005-08-11,445.3
2005-08-12,445.7
2005-08-15,442.3
2005-08-16,445.8
2005-08-17,440.3
2005-08-18,439.3
2005-08-19,435.8
2005-08-22,437.6
2005-08-23,438.7
2005-08-24,437.0
2005-08-25,437.8
2005-08-26,437.2
2005-08-29,436.1
2005-08-30,431.2
2005-08-31,434.6
2005-09-01,442.8
2005-09-02,443.8
2005-09-06,443.3
2005-09-07,444.3
2005-09-08,446.7
2005-09-09,448.3
2005-09-12,449.2
2005-09-13,445.8
2005-09-14,450.3
2005-09-15,455.3
2005-09-16,459.3
2005-09-19,463.8
2005-09-20,464.1
2005-09-21,471.6
2005-09-22,465.2
2005-09-23,462.8
2005-09-26,466.1
2005-09-27,462.7
2005-09-28,468.7
2005-09-29,471.3
2005-09-30,468.8
2005-10-03,465.3
2005-10-04,465.8
2005-10-05,464.8
2005-10-06,473.3
2005-10-07,474.3
